A/C,OT,RH_OT,RH,UT,RH_UT,UT_OT,N
aginomoto HR,0,0.5,0,0.166666667,0.333333333,0,0
spices LR,0.068965517,0.310344828,0.068965517,0.24137931,0,0.206896552,0.103448276
spices KR,0.150556031,0.133447391,0.151411463,0.144568007,0.135158255,0.118905047,0.165953807
spices NR,0.114678899,0.174311927,0.105504587,0.114678899,0.206422018,0.256880734,0.027522936
spices MR,0,0,0,0.5,0,0.5,0
spices HR,0,0,1,0,0,0,0
coco LR,0,0,0.083333333,0.583333333,0.166666667,0.166666667,0
coco KR,0.146774194,0.133870968,0.148387097,0.147580645,0.141935484,0.120967742,0.160483871
coco NR,0.1125,0.21875,0.09375,0.075,0.15625,0.31875,0.025
coco MR,0.4,0,0.4,0.2,0,0,0
coco HR,0.25,0.5,0.25,0,0,0,0
horlicks KR,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
boost KR,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
sdrink NR,0.047058824,0.188235294,0.117647059,0.164705882,0.152941176,0.223529412,0.105882353
sdrink KR,0.148484848,0.140909091,0.145454545,0.143181818,0.141666667,0.135606061,0.14469697
sdrink MR,0.25,0,0.25,0,0,0.5,0
sdrink LR,0.166666667,0.083333333,0,0,0.25,0.25,0.25
hdrink NR,0.04494382,0.179775281,0.101123596,0.157303371,0.157303371,0.247191011,0.112359551
hdrink KR,0.14893617,0.140577508,0.145896657,0.142857143,0.143617021,0.133738602,0.1443769
hdrink MR,0.166666667,0,0.166666667,0.166666667,0,0.5,0
hdrink LR,0.2,0.2,0.1,0,0,0.2,0.3
sfruit LR,0.109865471,0.174887892,0.098654709,0.139013453,0.139013453,0.206278027,0.132286996
sfruit KR,0.175900277,0.121883657,0.191135734,0.153739612,0.103878116,0.072022161,0.181440443
sfruit NR,0.158536585,0.048780488,0.109756098,0.109756098,0.243902439,0.292682927,0.036585366
sfruit MR,0.092436975,0.159663866,0.067226891,0.134453782,0.31092437,0.193277311,0.042016807
sfruit HR,0.057692308,0.269230769,0.076923077,0.096153846,0.173076923,0.230769231,0.096153846
wfruit LR,0.120181406,0.151927438,0.088435374,0.140589569,0.160997732,0.201814059,0.136054422
wfruit KR,0.174624829,0.130968622,0.19781719,0.151432469,0.10095498,0.064120055,0.180081855
wfruit NR,0.126126126,0.099099099,0.09009009,0.144144144,0.189189189,0.279279279,0.072072072
wfruit MR,0.050847458,0.220338983,0.06779661,0.084745763,0.313559322,0.262711864,0
wfruit HR,0.111111111,0.166666667,0.055555556,0.222222222,0,0.277777778,0.166666667
lime LR,0.144927536,0.31884058,0.057971014,0.144927536,0.188405797,0.115942029,0.028985507
lime KR,0.142506143,0.133497133,0.149058149,0.137592138,0.147420147,0.139230139,0.150696151
lime NR,0.151260504,0.151260504,0.134453782,0.176470588,0.084033613,0.159663866,0.142857143
lime MR,0.1,0,0.1,0.2,0,0.6,0
lime HR,0,0,0,1,0,0,0
nuts LR,0.08994709,0.148148148,0.074074074,0.164021164,0.185185185,0.248677249,0.08994709
nuts KR,0.164383562,0.112079701,0.183063512,0.151930262,0.117061021,0.107098381,0.164383562
nuts NR,0.134751773,0.195035461,0.095744681,0.095744681,0.180851064,0.177304965,0.120567376
nuts MR,0.115044248,0.230088496,0.079646018,0.150442478,0.14159292,0.168141593,0.115044248
nuts HR,0.088235294,0.117647059,0.176470588,0.176470588,0.205882353,0.029411765,0.205882353
runningnose NO,0.210648148,0.041666667,0.045138889,0.232638889,0.03125,0.222222222,0.216435185
runningnose YES,0.037701975,0.299820467,0.29443447,0.003590664,0.315978456,0.019748654,0.028725314
sneeze NO,0.207570208,0.042735043,0.024420024,0.242979243,0.025641026,0.231990232,0.224664225
sneeze YES,0.054817276,0.279069767,0.303986711,0.006644518,0.302325581,0.021594684,0.031561462
cough NO,0.156549521,0.076677316,0.060702875,0.212992545,0.09371672,0.198083067,0.201277955
cough YES,0.116182573,0.271784232,0.302904564,0.006224066,0.238589212,0.03526971,0.029045643
wheezeBlocks NO,0.148394241,0.058693245,0.071982281,0.219269103,0.090808416,0.198228128,0.212624585
wheezeBlocks YES,0.133204633,0.28957529,0.266409266,0.00965251,0.233590734,0.046332046,0.021235521
headache NO,0.158730159,0.085537919,0.130511464,0.176366843,0.109347443,0.171957672,0.167548501
headache YES,0.080139373,0.369337979,0.191637631,0.010452962,0.275261324,0.027874564,0.045296167
itching NO,0.166666667,0.276836158,0.281073446,0.012711864,0.011299435,0.011299435,0.240112994
itching YES,0.119214586,0.009817672,0.005610098,0.272089762,0.273492286,0.273492286,0.04628331
swelling NO,0.184475806,0.204637097,0.202620968,0.065524194,0.059475806,0.110887097,0.172379032
swelling YES,0.046620047,0,0.004662005,0.321678322,0.335664336,0.216783217,0.074592075
redrashes NO,0.182617188,0.198242188,0.1953125,0.079101563,0.063476563,0.112304688,0.168945313
redrashes YES,0.040302267,0,0.007556675,0.307304786,0.347607053,0.221662469,0.075566751
FHistory NO,0.133333333,0.042857143,0.193650794,0.171428571,0.061904762,0.107936508,0.288888889
FHistory YES,0.150442478,0.222503161,0.102402023,0.120101138,0.207332491,0.170670038,0.026548673
gender ?,0.5,0,0,0.5,0,0,0
gender M,0.152996845,0.146687697,0.187697161,0.123028391,0.093059937,0.146687697,0.149842271
gender F,0.133757962,0.140127389,0.107006369,0.157961783,0.18343949,0.140127389,0.137579618
